titulo;empresa;localizacion;jornada;contrato;salario
 Abogado/a;" BUFETE JURÍDICO ""JUSTICIA PARA TODOS"""; Cuenca, Azuay; Tiempo Completo; Otro tipo de contrato; A convenir
 Abogado/a;" BUFETE JURÍDICO ""JUSTICIA PARA TODOS"""; Cuenca, Azuay; Tiempo Completo; Otro tipo de contrato; A convenir
 Asesor de negocios; Bupartech; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 1.200,00 US$ 
 diseñadora; BURGOS SELLAN LUIS ANIBAL; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Asistente Contable; Bustamante & Bustamante; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; 400,00 US$ 
 Contador auditor; BYRON VICENTE GONGORA ALBUJA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Consultor Comercial; C&C Mobile Solutions; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Auxiliar contable; Cacie Optical S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Auxiliar de limpieza; Cacie Optical S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Polifuncional Ayudante de Cocina; Cadena de Restaurantes de Comida Rápida; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Jefe de sistemas; Cadena de Restaurantes de Comida Rápida; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Impulsador/a de ventas; Calbaq S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 470,00 US$ 
 Prevendedor/a; Calbaq S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Prevendedor/a; Calbaq S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Analista financiero; Calificadora de Riesgos; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente de cobranzas; Calizas y Minerales Calmosacorp; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Tecnologos o ingenieros; CAM TecniFord; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Ingeniero; CAM TecniFord; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Trade marketing; Camino Del Sol Brewing CO.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Administrador de Local; Camino Del Sol Brewing CO.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente Contable; Camino Del Sol Brewing CO.; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Jefe de Importaciones; Camino Del Sol Brewing CO.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 1.000,00 US$ 
 Bodeguero; Camino Del Sol Brewing CO.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedor Horeca; Camino Del Sol Brewing CO.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Community Manager , Marketing Redes Sociales; CanadaSI; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Auxiliar contable bilingue Inglés, Francés es un plus; CanadaSI; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Diseñador Gráfico; Capasiscorp; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Asistente Comercial; Capital Humano Soluciones Integrales; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Abogado para recuperación de cartera; Carrillo Asociados; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Docente de Religión y Dignidad Humana; Casa Salesiana Kennedy; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 700,00 US$ 
 Agente de ventas; CASTEL CIA LTDA; Machala, El Oro; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Director Comercial; Castro Cabrera Angelica Maria; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Persona con conocimiento de Fotografía; Castro Cabrera Angelica Maria; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 administrador de local comercial; Castro Cabrera Angelica Maria; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Bodeguero/a; Castro Cabrera Angelica Maria; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Cosmetólogo/a; Catalina Mantilla; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Lcdo/a. en Ciencias de la Educación; Catalinas; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Profesor/a de Emprendimiento y Gestión; Catalinas; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Asistente Financiero eventual; CBC Fruit S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 394,00 US$ 
 Licenciada en Psicopedagogía; Ceaps; Guayaquil, Guayas; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Terapista de lenguaje; Ceaps; Guayaquil, Guayas; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Se requiere Poligrafista para Guayaquil; CECAPRAL; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 20.000,00 US$ 
 Native english teacher; Cedecenter s.a; El Carmen, Manabí; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 profesores matematicas fisica quimica; Cedecenter-Sur; Quevedo, Los Ríos; Tiempo Completo; Contrato de obra o labor; 400,00 US$ 
 porfesores en electricidad y electronica; Cedecenter-Sur; Quevedo, Los Ríos; Por Horas; Contrato de obra o labor; 400,00 US$ 
 Auxiliar contable; Cededi; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Vendedora/ Promotora; Cededi; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Analista Logistico; CEDETEC S.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Bartender; Cedros INN; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Barista con Experiencia; Cedros INN; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente/a recepcionista; Cedros INN; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Analista de Marketing; Cedros INN; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Polifuncional; Cedros INN; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Camarero/a; Cedros INN; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Analista de marketing; Cedros INN; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Administrativo personal; Cedros INN; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Operador de Producción; CegaCorp; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Asesor Técnico Comercial; CegaCorp; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor Comercial de Aires Acondicionados; CegaCorp; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente Administrativo y Operativo en Climatizacion; CegaCorp; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 550,00 US$ 
 Asesor Tecnico Comercial; CegaCorp; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Tecnico en Refrigeracion industrial conocer camaras de frio.; CegaCorp; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 550,00 US$ 
 Tecnico en aires acondicionados y refrigeracion industrial; CegaCorp; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 550,00 US$ 
 Educadora para nivel de Maternal; CEIP MI RINCÓN CREATIVO; Cuenca, Azuay; Medio Tiempo; Otro tipo de contrato; A convenir
 Instructor de Ingles; Cendocap; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Estilista profesional; Centro de belleza NORISTZ; Guayaquil, Guayas; Tiempo Completo; Contrato de obra o labor; A convenir
 Docente; CENTRO DE CAPACITACION DE SEGURIDAD BABAHOYO CENDCASEGB CIA LTDA; Babahoyo, Los Ríos; Por Horas; Otro tipo de contrato; A convenir
 Docentes; CENTRO DE CAPACITACION DE SEGURIDAD BABAHOYO CENDCASEGB CIA LTDA; Babahoyo, Los Ríos; Por Horas; Otro tipo de contrato; A convenir
 Docente de inglés C1; Centro de Idiomas Foreign Languages S.A.; Quito, Pichincha; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Psicólogo clínico;" CENTRO DE NIVELACIÓN MILITAR ""CENEMIL"""; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Docente Teacher Ingles solo Mujer; Centro de Rehabilitación CERENI; Quito, Pichincha; Medio Tiempo; Otro tipo de contrato; 500,00 US$ 
 Licenciada en Ciencias de la Educación; CENTRO EDUCATIVO EDWARD JOSEPH FLANAGAN; Quito, Pichincha; Por Horas; Contrato por tiempo indefinido; A convenir
 Licenciad@ en Ciencias de la Educación; CENTRO EDUCATIVO EDWARD JOSEPH FLANAGAN; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Licenciada en Ciencias de la Educación; CENTRO EDUCATIVO EDWARD JOSEPH FLANAGAN; Quito, Pichincha; Por Horas; Contrato por tiempo determinado; A convenir
 Licenciada de Educación General Básica; CENTRO EDUCATIVO EDWARD JOSEPH FLANAGAN; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Parvularia; CENTRO EDUCATIVO EDWARD JOSEPH FLANAGAN; Quito, Pichincha; Por Horas; Contrato por tiempo determinado; A convenir
 Vendedor Medicina Ocupacional; Centro Integral de Osteoporosis; Quito, Pichincha; Por Horas; Otro tipo de contrato; 11.111,00 US$ 
 Visitador/a médico; Centro Integral de Osteoporosis; Quito, Pichincha; Por Horas; Otro tipo de contrato; 11.111,00 US$ 
 Odontólogo/a; Centro Odontológico OdanDental; Naranjal, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Se Busca Maestra Parvularia o Educación Inicial; Centro Psicopedagógico Integral Retos; Guayaquil, Guayas; Medio Tiempo; Contrato por tiempo determinado; A convenir
 cocinera; CENTRO RESIDENCIAL PARA PERSONAS ADULTAS MAYORES LOS JARDINES LOSJAR S.A.; Cuenca, Azuay; Medio Tiempo; Contrato por tiempo indefinido; 394,00 US$ 
 Fisioterapeuta; CENTRO RESIDENCIAL PARA PERSONAS ADULTAS MAYORES LOS JARDINES LOSJAR S.A.; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asesor Inmobiliario; Century 21 Plus; Guayaquil, Guayas; Por Horas; Otro tipo de contrato; A convenir
 Agente inmobiliario; Century 21 Smart; Guayaquil, Guayas; Por Horas; Otro tipo de contrato; A convenir
 Doctor en Bioquímica y Farmacia; CERHVALENCIA Cía. Ltda; Quito, Pichincha; Medio Tiempo; Contrato por tiempo determinado; A convenir
 Recepcionista; CERHVALENCIA Cía. Ltda; Quito, Pichincha; Tiempo Completo; Contrato por tiempo determinado; A convenir
 Laboratorista clínico; CERHVALENCIA Cía. Ltda; Quito, Pichincha; Por Horas; Contrato por tiempo determinado; A convenir
 Recepcionista, Asist. admin. con conocimientos contables; CEVALLOS CASALS BALSECA & BILBAO ABOGADOS; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Contador, Auditor, Ingeriaeria Contable o a fines; CEVALLOS CASALS BALSECA & BILBAO ABOGADOS; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Desarrollador sistemas; CFCLOUD ECUADOR S.A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 1.400,00 US$ 
 Doctor/a; CFYCPPSPG Cia. Ltda; Pasaje, El Oro; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Integrantes para Orquesta; CFYCPPSPG Cia. Ltda; Pasaje, El Oro; Medio Tiempo; Contrato de obra o labor; A convenir
 Docentes Capacitadores; CFYCPPSPG Cia. Ltda; Pasaje, El Oro; Por Horas; Contrato por tiempo indefinido; A convenir
 Instructor capacitación; CFYCPPSPG Cia. Ltda; Pasaje, El Oro; Por Horas; Contrato por tiempo indefinido; A convenir
 Guardia de segurIdad; Ch y Ch Security Cía. Ltda.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Asesor Comercial Freelance; CHECK-IN REPRESENTACIONES TURISTICAS; Rumiñahui, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Estudiante de ingeniería civil; Chocolatier; Durán, Guayas; Medio Tiempo; Contrato por tiempo determinado; A convenir
 Bodeguero/a; Ciapromase S. A.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente administrador; CINCOM; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Asistente de recursos humanos; Citera s.a.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Operadores; Citera s.a.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Vendedor; Citera s.a.; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Economista; Ciudad Verde; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; A convenir
 Mecanico Dental; Clinica De Especialidades Odontologicas La Prensa; Quito, Pichincha; Por Horas; Contrato de obra o labor; A convenir
 Auxiliar; Clinica San Vicente; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; 394,00 US$ 
 Profesora de Danza; Club de Patinaje Artístico Victoria Caceres; Loja, Loja; Medio Tiempo; Contrato por tiempo indefinido; A convenir
 Auxilar de contabilidad; Club General de Aerotécnicos FAE; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 550,00 US$ 
 ejecutivo de cobranzas financiera; Club General de Aerotécnicos FAE; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 600,00 US$ 
 Cobrador domiciliario; CMS del Ecuador; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Cobrador domiciliario; CMS del Ecuador; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Cajero financiero; COAC EL SAGRARIO LTDA; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Asistente; Cobus CIA LTDA; Cuenca, Azuay; Medio Tiempo; Contrato por tiempo determinado; 440,00 US$ 
 Manicurista; COCO BOOM NAILS; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 394,00 US$ 
 Radiólogo/a; CODADEPRO C.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Radiólogo/a; CODADEPRO C.A.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Vendedor gigantografía; Codgraf S.A.; Guayaquil, Guayas; Tiempo Completo; Otro tipo de contrato; A convenir
 Mantenimiento y soporte técnico; CODIP Cía. Ltda.; Quito, Pichincha; Medio Tiempo; Otro tipo de contrato; A convenir
 Bodeguero con licencia B; Codpla decorations; Riobamba, Chimborazo; Medio Tiempo; Otro tipo de contrato; A convenir
 Ejecutivo/a comercial; Codyxopaper Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Encargado de Soporte TI; Codyxopaper Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Encargada de Soporte TI; Codyxopaper Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Call center; Codyxopaper Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 394,00 US$ 
 Asesor Comercial Vendedor; Cofrunat Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Auxiliar de Producción; Cofrunat Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Vendedor de cobertura; Cofrunat Cia. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Ayudante de Mantenimiento Eléctrico; COHECO S.A; Cuenca, Azuay; Tiempo Completo; Contrato de Aprendizaje; 416,00 US$ 
 Chofer Temporal; COHECO S.A; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo determinado; 600,00 US$ 
 Ayudante de Instalación Mecánica; COHECO S.A; Guayaquil, Guayas; Tiempo Completo; Contrato de obra o labor; 409,00 US$ 
 Pasante administrativo/a; COHECO S.A; Quito, Pichincha; Medio Tiempo; Otro tipo de contrato; A convenir
 Docente de música; Colegio Surcos; Quito, Pichincha; Por Horas; Otro tipo de contrato; A convenir
 Encargado de Tienda de Ropa (KOAJ); COLFASHION CIA.LTDA.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 750,00 US$ 
 Ingeniero de Software; Collidetech Cia Ltda; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Jefe Regional Comercial Centro; Colnexos Cía. Ltda.; Ambato, Tungurahua; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Ejecutivos comerciales de seguros a nivel nacional; Colnexos Cía. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Asistente de Gerencia Comercial de Seguros; Colnexos Cía. Ltda.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Se requiere Edecanes; COMEFA COMERCIAL; Manta, Manabí; Por Horas; Otro tipo de contrato; A convenir
 Se requiere Vendedoras para comercializadora; COMEFA COMERCIAL; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Auxiliar de Ingresos; Comercial Arándano; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 450,00 US$ 
 Vendedor de Cobertura de pintura Automotriz; Comercial Salvador Pacheco Mora S.A..; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Agente de ventas; Comercial Salvador Pacheco Mora S.A..; Cuenca, Azuay; Tiempo Completo; Contrato por tiempo indefinido; 500,00 US$ 
 Auxiliar contable; COMERCIALIZADORA ASIA & SUDAMERICA ASA-1 CIA.LTDA.; Quito, Pichincha; Tiempo Completo; Otro tipo de contrato; 11.111,00 US$ 
 Ejecutivos de Ventas; COMERCIALIZADORA ASIA & SUDAMERICA ASA-1 CIA.LTDA.; Quito, Pichincha; Tiempo Completo; Contrato por tiempo indefinido; 11.111,00 US$ 
 Polifuncional Restaurante; Comidas de Victor; Ambato, Tungurahua; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Auxiliares Polifuncionales de Restaurantes; Comidas de Victor; Babahoyo, Los Ríos; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Auxiliares Polifuncionales para Restaurantes; Comidas de Victor; Daule, Guayas; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
 Analista financiero; Comidas de Victor; Guayaquil, Guayas; Tiempo Completo; Contrato por tiempo indefinido; A convenir
 Cajero Administrador; Comidas de Victor; La Libertad, Santa Elena; Tiempo Completo; Contrato por tiempo indefinido; 448,00 US$ 
 Cocinero (a); Comidas de Victor; La Libertad, Santa Elena; Tiempo Completo; Contrato por tiempo indefinido; 400,00 US$ 
